7SK.1
7SK.2
A1BG
A1BG-AS1
A2M
A2M-AS1
A4GALT
AAAS
AACS
AAED1
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
AB019440.50
ABAT
ABCA1
ABCA10
ABCA2
ABCA3
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB4
ABCB5
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC2
ABCC3
ABCC4
ABCC5
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABHD1
ABHD10
ABHD11
ABHD12
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17B
ABHD17C
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABR
ABRACL
ABT1
ABTB1
ABTB2
AC000003.2
AC000068.5
AC000068.9
AC002116.7
AC002117.1
AC002306.1
AC002310.12
AC002310.7
AC002331.1
AC002398.11
AC002451.3
AC002456.2
AC002467.7
AC002472.13
AC002480.2
AC003051.1
AC003075.4
AC003090.1
AC003092.1
AC003102.3
AC003665.1
AC003956.1
AC003991.3
AC004069.2
AC004156.3
AC004158.2
AC004257.3
AC004381.6
AC004447.2
AC004463.6
AC004510.3
AC004528.4
AC004540.4
AC004540.5
AC004840.9
AC004854.4
AC004878.2
AC004893.11
AC004895.4
AC004951.6
AC005003.1
AC005037.3
AC005076.5
AC005082.12
AC005152.3
AC005220.3
AC005224.2
AC005253.2
AC005264.2
AC005306.3
AC005329.7
AC005339.2
AC005355.1
AC005356.1
AC005523.2
AC005523.3
AC005534.8
AC005540.3
AC005614.3
AC005618.6
AC005682.8
AC005757.6
AC005780.1
AC005786.5
AC005943.5
AC005944.2
AC005954.4
AC006042.7
AC006116.17
AC006116.20
AC006129.1
AC006129.2
AC006129.4
AC006160.5
AC006277.2
AC006369.2
AC006449.1
AC006460.2
AC006486.1
AC006547.15
AC006547.8
AC006942.4
AC006946.16
AC006994.2
AC007036.6
AC007038.7
AC007040.6
AC007163.3
AC007182.6
AC007193.9
AC007228.11
AC007228.9
AC007246.3
AC007285.6
AC007292.3
AC007292.6
AC007308.6
AC007365.1
AC007365.3
AC007381.2
AC007381.3
AC007382.1
AC007383.3
AC007383.4
AC007386.2
AC007386.4
AC007391.2
AC007551.3
AC007566.10
AC007620.3
AC007773.2
AC007879.2
AC007879.5
AC007880.1
AC007952.5
AC008074.3
AC008174.3
